Temp,Time,Molarity,H2O,DES,EtOH
120,2,50,1,1,1
120,2,50,2,1,1
120,2,50,1,2,1
120,2,50,1,1,2
120,2,60,1,1,1
120,2,60,2,1,1
120,2,60,1,2,1
120,2,60,1,1,2
120,2,70,1,1,1
120,2,70,2,1,1
120,2,70,1,2,1
120,2,70,1,1,2
120,2,80,1,1,1
120,2,80,2,1,1
120,2,80,1,2,1
120,2,80,1,1,2
120,2,90,1,1,1
120,2,90,2,1,1
120,2,90,1,2,1
120,2,90,1,1,2
120,2,100,1,1,1
120,2,100,2,1,1
120,2,100,1,2,1
120,2,100,1,1,2
120,2,110,1,1,1
120,2,110,2,1,1
120,2,110,1,2,1
120,2,110,1,1,2
120,2,120,1,1,1
120,2,120,2,1,1
120,2,120,1,2,1
120,2,120,1,1,2
120,2,130,1,1,1
120,2,130,2,1,1
120,2,130,1,2,1
120,2,130,1,1,2
120,2,140,1,1,1
120,2,140,2,1,1
120,2,140,1,2,1
120,2,140,1,1,2
120,2,150,1,1,1
120,2,150,2,1,1
120,2,150,1,2,1
120,2,150,1,1,2
120,2,160,1,1,1
120,2,160,2,1,1
120,2,160,1,2,1
120,2,160,1,1,2
120,2,170,1,1,1
120,2,170,2,1,1
120,2,170,1,2,1
120,2,170,1,1,2
120,2,180,1,1,1
120,2,180,2,1,1
120,2,180,1,2,1
120,2,180,1,1,2
120,2,190,1,1,1
120,2,190,2,1,1
120,2,190,1,2,1
120,2,190,1,1,2
120,2,200,1,1,1
120,2,200,2,1,1
120,2,200,1,2,1
120,2,200,1,1,2
120,2,210,1,1,1
120,2,210,2,1,1
120,2,210,1,2,1
120,2,210,1,1,2
120,2,220,1,1,1
120,2,220,2,1,1
120,2,220,1,2,1
120,2,220,1,1,2
120,2,230,1,1,1
120,2,230,2,1,1
120,2,230,1,2,1
120,2,230,1,1,2
120,2,240,1,1,1
120,2,240,2,1,1
120,2,240,1,2,1
120,2,240,1,1,2
120,2,250,1,1,1
120,2,250,2,1,1
120,2,250,1,2,1
120,2,250,1,1,2
120,2,260,1,1,1
120,2,260,2,1,1
120,2,260,1,2,1
120,2,260,1,1,2
120,2,270,1,1,1
120,2,270,2,1,1
120,2,270,1,2,1
120,2,270,1,1,2
120,2,280,1,1,1
120,2,280,2,1,1
120,2,280,1,2,1
120,2,280,1,1,2
120,2,290,1,1,1
120,2,290,2,1,1
120,2,290,1,2,1
120,2,290,1,1,2
120,2,300,1,1,1
120,2,300,2,1,1
120,2,300,1,2,1
120,2,300,1,1,2
120,2,310,1,1,1
120,2,310,2,1,1
120,2,310,1,2,1
120,2,310,1,1,2
120,2,320,1,1,1
120,2,320,2,1,1
120,2,320,1,2,1
120,2,320,1,1,2
120,2,330,1,1,1
120,2,330,2,1,1
120,2,330,1,2,1
120,2,330,1,1,2
120,2,340,1,1,1
120,2,340,2,1,1
120,2,340,1,2,1
120,2,340,1,1,2
120,2,350,1,1,1
120,2,350,2,1,1
120,2,350,1,2,1
120,2,350,1,1,2
120,2,360,1,1,1
120,2,360,2,1,1
120,2,360,1,2,1
120,2,360,1,1,2
120,2,370,1,1,1
120,2,370,2,1,1
120,2,370,1,2,1
120,2,370,1,1,2
120,2,380,1,1,1
120,2,380,2,1,1
